Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.385200,0.382449,0.389909
Sequential,-1,0.382731,0.376304,0.385439
Sequential,-1,0.382554,0.376308,0.386623
Sequential,-1,0.382058,0.376614,0.386387
Sequential,-1,0.381922,0.377552,0.385969
Sequential,-1,0.382602,0.378678,0.385153
Sequential,-1,0.378935,0.368487,0.383916
Sequential,-1,0.385185,0.379346,0.391145
Sequential,-1,0.384773,0.377056,0.388939
Sequential,-1,0.384387,0.373379,0.390193
Sequential,-1,0.385437,0.379230,0.390960
Sequential,-1,0.386657,0.380733,0.390962
Sequential,-1,0.383041,0.369339,0.388448
Sequential,-1,0.376042,0.369399,0.380408
Sequential,-1,0.375279,0.363812,0.381490
Sequential,-1,0.376547,0.372024,0.379847
Sequential,-1,0.375983,0.371659,0.383010
Sequential,-1,0.376280,0.371594,0.380247
Sequential,-1,0.378438,0.375385,0.381105
